"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW3","CJ-SW2A","66.0568mm","108.3125mm","65.4268mm","108.2999mm","73.5768mm","105.7599mm","T","0.00","F2"
"SW5","CJ-SW2A","104.0568mm","108.3125mm","103.4268mm","108.3mm","111.5768mm","105.76mm","T","0.00","F4"
"SW6","CJ-SW2A","132.5568mm","108.3125mm","131.9268mm","108.3mm","140.0768mm","105.76mm","T","0.00","F5"
"SW7","CJ-SW2A","151.5568mm","108.3125mm","150.9268mm","108.3mm","159.0768mm","105.76mm","T","0.00","F6"
"SW8","CJ-SW2A","170.5568mm","108.3125mm","169.9268mm","108.3mm","178.0768mm","105.76mm","T","0.00","F7"
"SW9","CJ-SW2A","189.5568mm","108.3125mm","188.9268mm","108.3mm","197.0768mm","105.76mm","T","0.00","F8"
"SW10","CJ-SW2A","218.0568mm","108.3125mm","217.4268mm","108.3mm","225.5768mm","105.76mm","T","0.00","F9"
"SW97","CJ-SW2A","225.1818mm","9.3125mm","224.5518mm","9.3mm","232.7018mm","6.76mm","T","0.00","Win_R"
"SW64","CJ-SW2A","118.3068mm","47.3125mm","117.6768mm","47.3mm","125.8268mm","44.76mm","T","0.00","G"
"SW65","CJ-SW2A","137.3068mm","47.3125mm","136.6768mm","47.3mm","144.8268mm","44.76mm","T","0.00","H"
"SW32","CJ-SW2A","318.0568mm","85.3125mm","317.4268mm","85.3mm","325.5768mm","82.76mm","T","0.00","Home"
"SW46","CJ-SW2A","170.5568mm","66.3125mm","169.9268mm","66.2999mm","178.0768mm","63.7599mm","T","0.00","I"
"SW31","CJ-SW2A","299.0568mm","85.3125mm","298.4268mm","85.3mm","306.5768mm","82.76mm","T","0.00","Insert"
"SW66","CJ-SW2A","156.3068mm","47.3125mm","155.6768mm","47.3mm","163.8268mm","44.76mm","T","0.00","J"
"SW67","CJ-SW2A","175.3068mm","47.3125mm","174.6768mm","47.3mm","182.8268mm","44.76mm","T","0.00","K"
"SW71","CJ-SW2A","251.3068mm","47.3125mm","250.6768mm","47.3mm","258.8268mm","44.76mm","T","0.00","K42"
"SW105","CJ-SW2A","32.8068mm","28.3125mm","32.1768mm","28.2999mm","40.3268mm","25.7599mm","T","0.00","K45"
"SW68","CJ-SW2A","194.3068mm","47.3125mm","193.6768mm","47.3mm","201.8268mm","44.76mm","T","0.00","L"
"LD30","LED_1206","253.612mm","0.9602mm","254.317mm","0.9602mm","251.747mm","0.9602mm","T","360.00","020 RGB"
"LD31","LED_1206","262.037mm","0.8852mm","262.742mm","0.8852mm","261.502mm","0.8852mm","T","360.00","020 RGB"
"SW100","CJ-SW2A","299.0568mm","9.3125mm","298.4268mm","9.3mm","306.5768mm","6.76mm","T","0.00","←"
"SW82","CJ-SW2A","165.8068mm","28.3125mm","165.1768mm","28.2999mm","173.3268mm","25.7599mm","T","0.00","M"
"SW81","CJ-SW2A","146.8068mm","28.3125mm","146.1768mm","28.2999mm","154.3268mm","25.7599mm","T","0.00","N"
"SW34","CJ-SW2A","361.2068mm","85.3125mm","360.5768mm","85.3mm","368.7268mm","82.76mm","T","0.00","Num Lock"
"SW47","CJ-SW2A","189.5568mm","66.3125mm","188.9268mm","66.2999mm","197.0768mm","63.7599mm","T","0.00","O"
"SW87","CJ-SW2A","318.0568mm","28.3125mm","317.4268mm","28.2999mm","325.5768mm","25.7599mm","T","0.00","↑"
"SW48","CJ-SW2A","208.5568mm","66.3125mm","207.9268mm","66.2999mm","216.0768mm","63.7599mm","T","0.00","P"
"SW54","CJ-SW2A","337.0568mm","66.3125mm","336.4268mm","66.2999mm","344.5768mm","63.7599mm","T","0.00","Page Down"
"SW33","CJ-SW2A","337.0568mm","85.3125mm","336.4268mm","85.3mm","344.5768mm","82.76mm","T","0.00","Page Up"
"SW16","CJ-SW2A","337.0568mm","108.3125mm","336.4268mm","108.3mm","344.5768mm","105.76mm","T","0.00","Pause"
"SW14","CJ-SW2A","299.0568mm","108.3125mm","298.4268mm","108.3mm","306.5768mm","105.76mm","T","0.00","Print screen"
"SW39","CJ-SW2A","37.5568mm","66.3125mm","36.9268mm","66.2999mm","45.0768mm","63.7599mm","T","0.00","Q"
"SW42","CJ-SW2A","94.5568mm","66.3125mm","93.9268mm","66.2999mm","102.0768mm","63.7599mm","T","0.00","R"
"SW102","CJ-SW2A","337.0568mm","9.3125mm","336.4268mm","9.3mm","344.5768mm","6.76mm","T","0.00","→"
"SW61","CJ-SW2A","61.3068mm","47.3125mm","60.6768mm","47.3mm","68.8268mm","44.76mm","T","0.00","S"
"SW15","CJ-SW2A","318.0568mm","108.3125mm","317.4268mm","108.3mm","325.5768mm","105.76mm","T","0.00","Scroll Lock"
"SW75","CJ-SW2A","20.9318mm","28.3125mm","20.3018mm","28.2999mm","28.4518mm","25.7599mm","T","0.00","Shift-L"
"SW107","CJ-SW2A","11.4318mm","28.3172mm","10.8018mm","28.3046mm","18.9518mm","25.7646mm","T","0.00","Shift-L"
"SW86","CJ-SW2A","258.4318mm","28.3125mm","257.8018mm","28.2999mm","265.9518mm","25.7599mm","T","0.00","Shift-R"
"SW95","CJ-SW2A","130.1818mm","9.3125mm","129.5518mm","9.3mm","137.7018mm","6.76mm","T","0.00","Space"
"SW43","CJ-SW2A","113.5568mm","66.3125mm","112.9268mm","66.2999mm","121.0768mm","63.7599mm","T","0.00","T"
"SW38","CJ-SW2A","13.8068mm","66.3125mm","13.1768mm","66.2999mm","21.3268mm","63.7599mm","T","0.00","Tab"
"SW45","CJ-SW2A","151.5568mm","66.3125mm","150.9268mm","66.2999mm","159.0768mm","63.7599mm","T","0.00","U"
"SW101","CJ-SW2A","318.0568mm","9.3125mm","317.4268mm","9.3mm","325.5768mm","6.76mm","T","0.00","↓"
"SW79","CJ-SW2A","108.8068mm","28.3125mm","108.1768mm","28.2999mm","116.3268mm","25.7599mm","T","0.00","V"
"SW40","CJ-SW2A","56.5568mm","66.3125mm","55.9268mm","66.2999mm","64.0768mm","63.7599mm","T","0.00","W"
"SW93","CJ-SW2A","35.1818mm","9.3125mm","34.5518mm","9.3mm","42.7018mm","6.76mm","T","0.00","Win-L"
"SW77","CJ-SW2A","70.8068mm","28.3125mm","70.1768mm","28.2999mm","78.3268mm","25.7599mm","T","0.00","X"
"SW44","CJ-SW2A","132.5568mm","66.3125mm","131.9268mm","66.2999mm","140.0768mm","63.7599mm","T","0.00","Y"
"SW76","CJ-SW2A","51.8068mm","28.3125mm","51.1768mm","28.2999mm","59.3268mm","25.7599mm","T","0.00","Z"
"SW49","CJ-SW2A","227.5568mm","66.3125mm","226.9268mm","66.2999mm","235.0768mm","63.7599mm","T","0.00","[{"
"SW50","CJ-SW2A","246.5568mm","66.3125mm","245.9268mm","66.2999mm","254.0768mm","63.7599mm","T","0.00","]}"
"SW17","CJ-SW2A","9.0568mm","85.3125mm","8.4268mm","85.3mm","16.5768mm","82.76mm","T","0.00","` ~"
"","Mark点","32.7463mm","106.8054mm","32.7463mm","106.8054mm","32.7463mm","106.8054mm","T","0.00","Comment"
"","Mark点","326.6553mm","43.4212mm","326.6553mm","43.4212mm","326.6553mm","43.4212mm","T","0.00","Comment"
"","Mark点","374.1902mm","100.6315mm","374.1902mm","100.6315mm","374.1902mm","100.6315mm","T","0.00","Comment"
"","Mark点","285.7631mm","9.7538mm","285.7631mm","9.7538mm","285.7631mm","9.7538mm","T","0.00","Comment"
"SW4","CJ-SW2A","85.0568mm","108.3125mm","84.4268mm","108.3mm","92.5768mm","105.76mm","T","0.00","F3"
"LED48","LED_RGB","207.9156mm","71.405mm","207.9156mm","71.405mm","210.5656mm","72.205mm","B","180.00","P"
"R4","0603R","304.641mm","33.8482mm","304.6236mm","33.853mm","305.403mm","33.8482mm","B","180.00","0R"
"R4A","0603R","304.641mm","32.3824mm","304.6236mm","32.3872mm","305.403mm","32.3824mm","B","180.00","NC"
"D1","BAV70A-SOT-23","4.067mm","98.7102mm","4.067mm","98.7102mm","3.051mm","98.7102mm","B","270.00",""

