"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"RR6","0603R","332.9927mm","54.4692mm","332.9753mm","54.474mm","333.7547mm","54.4692mm","B","180.00","10R±5%"
"RR7","0603R","336.492mm","42.7722mm","336.4968mm","42.7896mm","336.492mm","42.0102mm","B","90.00","82R±5%"
"RR8","0603R","336.526mm","39.4845mm","336.5308mm","39.5019mm","336.526mm","38.7225mm","B","90.00","10R±5%"
"RR9","0603R","336.5547mm","36.2436mm","336.5596mm","36.261mm","336.5547mm","35.4816mm","B","90.00","10R±5%"
"RR10","0603R","336.5211mm","32.7801mm","336.526mm","32.7975mm","336.5211mm","32.0181mm","B","90.00","82R±5%"
"RR11","0603R","336.5211mm","29.4551mm","336.526mm","29.4725mm","336.5211mm","28.6931mm","B","90.00","10R±5%"
"RR12","0603R","336.4961mm","26.1301mm","336.5009mm","26.1475mm","336.4961mm","25.3681mm","B","90.00","10R±5%"
"RR13","0603R","277.7331mm","27.9526mm","277.7283mm","27.9352mm","277.7331mm","28.7146mm","B","270.00","82R±5%"
"RR14","0603R","277.7331mm","31.2751mm","277.7283mm","31.2577mm","277.7331mm","32.0371mm","B","270.00","10R±5%"
"RR15","0603R","277.7331mm","34.6001mm","277.7283mm","34.5827mm","277.7331mm","35.3621mm","B","270.00","10R±5%"
"RR16","0603R","277.7331mm","37.9251mm","277.7283mm","37.9077mm","277.7331mm","38.6871mm","B","270.00","82R±5%"
"RR17","0603R","277.7331mm","41.2145mm","277.7283mm","41.1971mm","277.7331mm","41.9765mm","B","270.00","10R±5%"
"RR18","0603R","277.7272mm","44.4479mm","277.7224mm","44.4305mm","277.7272mm","45.2099mm","B","270.00","10R±5%"
"R30","0603R","173.581mm","14.045mm","173.5761mm","14.0276mm","173.581mm","14.807mm","B","270.00","0R"
"RA5","0603R","299.0172mm","55.466mm","299.0346mm","55.4612mm","298.2552mm","55.466mm","B","360.00","0R"
"RA13","0603R","289.9844mm","94.0304mm","289.967mm","94.0352mm","290.7464mm","94.0304mm","B","180.00","0R"
"LED88","LED_RGB","360.5656mm","33.405mm","360.5656mm","33.405mm","357.9156mm","34.205mm","B","180.00","1 End"
"LED18","LED_RGB","27.4156mm","90.4051mm","27.4156mm","90.4051mm","30.0656mm","91.2051mm","B","180.00","1!"
"RP1","0603R","306.5968mm","110.5026mm","306.592mm","110.4852mm","306.5968mm","111.2646mm","B","270.00","100K±5%"
"RP2","0603R","368.7371mm","77.6928mm","368.742mm","77.7102mm","368.7371mm","76.9308mm","B","90.00","100K±5%"
"RP3","0603R","368.7468mm","68.2776mm","368.742mm","68.2602mm","368.7468mm","69.0396mm","B","270.00","100K±5%"
"RP4","0603R","368.7468mm","48.9276mm","368.742mm","48.9102mm","368.7468mm","49.6896mm","B","270.00","100K±5%"
"RP5","0603R","348.2746mm","29.215mm","348.292mm","29.2102mm","347.5126mm","29.215mm","B","360.00","100K±5%"
"RP6","0603R","349.1245mm","6.14mm","349.142mm","6.1352mm","348.3625mm","6.14mm","B","360.00","100K±5%"
"CA2","0603C","349.2894mm","90.6726mm","349.292mm","90.6602mm","348.5274mm","90.6726mm","B","360.00","0.1uF/+80%-20%/25V"
"CA9","0603C","296.1946mm","50.4487mm","296.192mm","50.4612mm","296.9566mm","50.4487mm","B","180.00","0.1uF/+80%-20%/25V"
"CA10","0603C","300.5218mm","50.4466mm","300.5192mm","50.4591mm","301.2837mm","50.4466mm","B","180.00","0.1uF/+80%-20%/25V"
